Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,G. quota,Perdita quota,Lunghezza media passo,Media rapporto verticale,Media oscillazione verticale,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Cadenza di corsa media,Cadenza di corsa max,Normalized Power® (NP®),Training Stress Score®,Potenza media massima (20 min),Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Tempo sul fondale,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max
Corsa,2020-07-07 18:20:53,false,"Bergamo Corsa","12.01","802","00:52:13","169","190","4.0","157","168","4:21","3:44","115","65","1.46","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","02:25.28","13","0.0"
Ciclismo,2020-07-05 15:00:25,false,"Gazzaniga Ciclismo","60.10","1,791","02:26:17","153","181","4.3","--","--","24.7","60.4","1,357","1,318","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","25.0","0:00","No","00:17.99","13","0.0"
Corsa,2020-07-05 08:05:22,false,"Oneta Corsa","8.53","1,052","02:55:13","108","164","2.1","69","245","20:32","4:22","832","820","0.75","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","23.0","0:00","No","12:00.71","9","0.0"
Ciclismo,2020-07-04 08:20:16,false,"Gazzaniga Ciclismo","32.25","887","01:34:08","127","170","2.6","--","--","20.6","60.3","833","678","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","24.0","0:00","No","03:04.95","7","0.0"
Corsa,2020-07-02 18:26:53,false,"Gazzaniga Corsa","12.87","978","01:06:35","159","176","4.3","157","172","5:11","3:20","302","329","1.23","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","04:04.12","13","0.0"
Nuoto in piscina,2020-07-01 17:56:35,false,"Nuoto in piscina","2,050","422","00:47:57","--","--","--","--","--","2:20","0:54","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1341","51","28","0:00","28.0","0:00","No","00:32.42","3","0.0"
Escursionismo,2020-06-28 07:40:35,false,"Valgoglio Escursionismo","14.21","1,879","04:28:54","118","168","2.3","76","230","18:55","4:04","1,520","857","0.69","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","23.0","0:00","No","04:28:53.53","1","0.0"
Corsa,2020-06-27 14:55:25,false,"Gazzaniga Corsa","19.35","1,397","01:44:57","158","176","3.9","158","177","5:25","3:41","726","674","1.16","8.0","9.4","283","50.8% S / 49.2% D","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","01:38.72","20","0.0"
Ciclismo,2020-06-26 23:55:45,false,"Gazzaniga Ciclismo","5.04","351","00:26:50","140","174","2.7","--","--","11.3","22.6","384","13","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","25.0","0:00","No","00:21.93","2","0.0"
Ciclismo,2020-06-26 17:46:15,false,"Gazzaniga Ciclismo","47.77","1,234","02:04:48","132","182","3.8","--","--","23.0","52.5","1,028","896","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","25.0","0:00","No","08:37.08","10","0.0"
